number,survey,category_1,category_2
721,Survei Persepsi Petani dan Nelayan tentang Isu dan Tantangan dalam Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Pertanian dan Perikanan
722,Pengaruh Teknologi Informasi dan Komunikasi dalam Memajukan Seni dan Budaya,Seni dan Budaya,Teknologi Informasi dan Komunikasi
723,Evaluasi Efektivitas Perlindungan Hukum terhadap Konsumen dalam Transaksi Bisnis: Studi Kasus tentang Perlindungan Konsumen dalam Hubungan Bisnis dan Industri,Hukum,Bisnis dan Industri
724,Pengaruh Hukum terhadap Transparansi dan Akuntabilitas Keuangan: Studi Kasus tentang Peran Hukum dalam Meningkatkan Praktik Keuangan yang Bertanggung Jawab,Hukum,Keuangan
725,Persepsi Siswa tentang Pengelolaan Keuangan Berkelanjutan: Tinjauan terhadap Pengaruh Pendidikan Keuangan pada Perilaku Keuangan dan Kesadaran Lingkungan,Pendidikan,Keuangan
726,Persepsi Masyarakat tentang Tanggung Jawab Sosial dan Etika dalam Kegiatan Konservasi Lingkungan,Lingkungan dan Konservasi,Sosial dan Kemanusiaan
727,Faktor-faktor yang Mempengaruhi Keputusan Wisatawan untuk Menggunakan Jasa Pelayanan Kesehatan di Destinasi Wisata: Studi Kasus pada Wisatawan Asing di Kota Banda Aceh,Kesehatan,Pariwisata
728,Pengelolaan Sampah dan Limbah dalam Destinasi Pariwisata untuk Keberlanjutan Lingkungan,Pariwisata,Lingkungan dan Konservasi
729,Persepsi Masyarakat terhadap Transparansi dan Akuntabilitas Sistem Hukum,Politik dan Pemerintahan,Hukum
730,Analisis Dampak Efisiensi Transportasi terhadap Rantai Pasok dan Distribusi Industri,Transportasi dan Logistik,Bisnis dan Industri
731,Persepsi dan Penggunaan Media Sosial dalam Konteks Komunikasi dan Interaksi Sosial,Teknologi Informasi dan Komunikasi,Teknologi Informasi dan Komunikasi
732,Penilaian Terhadap Peran Pemerintah dalam Pelestarian Budaya dan Alam untuk Pariwisata,Politik dan Pemerintahan,Pariwisata
733,Evaluasi Penegakan Hukum terhadap Pelanggaran dan Kejahatan dalam Industri Pariwisata,Pariwisata,Hukum
734,Persepsi Masyarakat tentang Isu-Isu Sosial dan Kemanusiaan di Lingkungan Mereka,Sosial dan Kemanusiaan,Sosial dan Kemanusiaan
735,Survei Kepuasan Masyarakat terhadap Kebijakan Olahraga dan Sarana Rekreasi,Politik dan Pemerintahan,Olahraga dan Rekreasi
736,Pengaruh Hukum terhadap Perlindungan Warisan Budaya dan Praktik Keagamaan: Penilaian Dampak Kebijakan Hukum dalam Pelestarian dan Pengembangan Identitas Keagamaan,Hukum,Agama dan Kepercayaan
737,Tinjauan atas Peran Hukum dalam Mengatur Perdagangan Elektronik: Penilaian Dampak Kebijakan Hukum terhadap Regulasi Pasar Digital dan Perlindungan Konsumen,Hukum,Teknologi Informasi dan Komunikasi
738,Persepsi Masyarakat Terhadap Pemisahan Agama dan Negara,Agama dan Kepercayaan,Politik dan Pemerintahan
739,Evaluasi Pelaksanaan Program Pendidikan Hukum dalam Mempersiapkan Siswa Menghadapi Tantangan Hukum di Era Digital,Pendidikan,Hukum
740,Analisis Peran Inovasi Teknologi Informasi dalam Meningkatkan Efisiensi dan Produktivitas Pertanian dan Perikanan,Pertanian dan Perikanan,Teknologi Informasi dan Komunikasi
741,Pengaruh Sistem Logistik Kesehatan dalam Mendukung Distribusi Obat dan Pelayanan Kesehatan: Tinjauan terhadap Efisiensi dan Aksesibilitas,Kesehatan,Transportasi dan Logistik
742,Studi Tentang Perbandingan Ajaran Agama dalam Konteks Moralitas dan Etika,Agama dan Kepercayaan,Agama dan Kepercayaan
743,Analisis Dampak Teknologi Keuangan terhadap Perilaku dan Pengelolaan Keuangan Individu,Keuangan,Teknologi Informasi dan Komunikasi
744,Kebiasaan Berolahraga dan Aktivitas Rekreasi Masyarakat,Olahraga dan Rekreasi,Olahraga dan Rekreasi
745,Pengaruh Metode Pembelajaran Aktif terhadap Minat Belajar dan Prestasi Akademik Siswa,Pendidikan,Pendidikan
746,Partisipasi dan Kontribusi Masyarakat dalam Kegiatan Sosial dan Kemanusiaan,Sosial dan Kemanusiaan,Sosial dan Kemanusiaan
747,Preferensi Masyarakat dalam Mengakses dan Menikmati Seni dan Budaya Melalui Teknologi Informasi dan Komunikasi,Seni dan Budaya,Teknologi Informasi dan Komunikasi
748,Evaluasi Kurikulum Pendidikan Transportasi: Persepsi Guru dan Siswa tentang Relevansi dan Efektivitas Pembelajaran Transportasi dan Logistik dalam Konteks Pengembangan Infrastruktur,Pendidikan,Transportasi dan Logistik
749,Persepsi Petani dan Nelayan tentang Kesehatan dan Keselamatan Kerja dalam Sektor Pertanian dan Perikanan,Kesehatan,Pertanian dan Perikanan
750,Penilaian Terhadap Peran Pemerintah dalam Penegakan Hukum dan Keamanan Publik,Politik dan Pemerintahan,Politik dan Pemerintahan
751,Peran Teknologi Informasi dan Komunikasi dalam Mengatasi Tantangan dan Meningkatkan Kesehatan Masyarakat secara Keseluruhan,Teknologi Informasi dan Komunikasi,Kesehatan
752,Penggunaan Teknologi Informasi dan Komunikasi dalam Pemberdayaan Masyarakat,Sosial dan Kemanusiaan,Teknologi Informasi dan Komunikasi
753,Peran Seni dan Budaya dalam Meningkatkan Partisipasi dalam Olahraga dan Rekreasi,Olahraga dan Rekreasi,Seni dan Budaya
754,Evaluasi Efektivitas Sistem Hukum dalam Menangani Kasus-Kasus Kekerasan dan Diskriminasi: Penilaian Dampak Penegakan Hukum terhadap Keadilan Sosial dan Kemanusiaan,Hukum,Sosial dan Kemanusiaan
755,Persepsi Masyarakat tentang Hubungan Antara Kesejahteraan Finansial dan Kesejahteraan Sosial,Keuangan,Sosial dan Kemanusiaan
756,Tinjauan terhadap Regulasi Hukum dalam Mengatasi Tantangan Hukum dalam Industri Transportasi dan Logistik,Hukum,Transportasi dan Logistik
757,Partisipasi Masyarakat dalam Keberlanjutan Perikanan dan Pertanian untuk Menjamin Kemanusiaan dan Ketahanan Pangan,Sosial dan Kemanusiaan,Pertanian dan Perikanan
758,Persepsi Masyarakat tentang Keterkaitan antara Lingkungan dan Sektor Pertanian serta Perikanan,Pertanian dan Perikanan,Lingkungan dan Konservasi
759,Persepsi Masyarakat tentang Peran Politik dan Pemerintahan dalam Konservasi Lingkungan dan Sumber Daya Alam,Lingkungan dan Konservasi,Politik dan Pemerintahan
760,Pengaruh Literasi Digital terhadap Pengetahuan dan Keterampilan Siswa dalam Menggunakan Teknologi Informasi dan Komunikasi: Studi Kasus pada Program Pendidikan Digital Literacy,Pendidikan,Teknologi Informasi dan Komunikasi
761,Tantangan dan Peluang Implementasi Teknologi Informasi dan Komunikasi dalam Meningkatkan Keterlibatan Bisnis dan Partisipasi Politik dalam Pemerintahan,Teknologi Informasi dan Komunikasi,Politik dan Pemerintahan
762,Analisis Dampak Infrastruktur Transportasi terhadap Pengembangan Destinasi Pariwisata,Transportasi dan Logistik,Pariwisata
763,Tanggung Jawab Hukum dalam Pameran Seni dan Pertunjukan Budaya,Seni dan Budaya,Hukum
764,Kontribusi Pariwisata Berkelanjutan dalam Mempertahankan Konservasi Lingkungan,Lingkungan dan Konservasi,Pariwisata
765,Kontribusi Teknologi Informasi dan Komunikasi dalam Mendorong Partisipasi Masyarakat dalam Keputusan Politik dan Pemerintahan,Teknologi Informasi dan Komunikasi,Politik dan Pemerintahan
766,Dampak Seni dan Budaya dalam Memotivasi Partisipasi dalam Olahraga dan Rekreasi,Seni dan Budaya,Olahraga dan Rekreasi
767,Persepsi Masyarakat terhadap Transparansi dan Akuntabilitas Pengelolaan Keuangan Negara,Politik dan Pemerintahan,Keuangan
768,Penilaian Terhadap Kepercayaan Agama dalam Penegakan Hukum,Agama dan Kepercayaan,Hukum
769,Pengaruh Keterlibatan dalam Kegiatan Seni dan Budaya terhadap Kognisi dan Empati Siswa: Studi Kasus pada Program Pendidikan Seni Rupa,Pendidikan,Seni dan Budaya
770,Evaluasi Infrastruktur Teknologi Informasi dan Komunikasi di Sekolah: Persepsi Guru dan Siswa tentang Kesiapan dan Kualitas Sumber Daya Teknologi,Pendidikan,Teknologi Informasi dan Komunikasi
771,Tanggapan Masyarakat terhadap Respons Pemerintah terhadap Krisis Sosial dan Kemanusiaan,Sosial dan Kemanusiaan,Politik dan Pemerintahan
772,Persepsi Masyarakat terhadap Manfaat Seni dan Budaya dalam Menjaga Kesehatan,Seni dan Budaya,Kesehatan
773,Analisis Dampak Kebijakan Pendidikan terhadap Akses dan Mutu Pendidikan,Politik dan Pemerintahan,Pendidikan
774,Pengaruh Kebijakan Kesehatan Terhadap Industri Makanan dan Minuman: Studi Kasus pada Efek Regulasi dan Respons Industri,Kesehatan,Bisnis dan Industri
775,Dampak Teknologi Informasi dan Komunikasi terhadap Pemberdayaan Sosial dan Kemanusiaan,Teknologi Informasi dan Komunikasi,Sosial dan Kemanusiaan
776,Evaluasi Program Kesejahteraan Sosial dalam Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Sosial dan Kemanusiaan
777,Peran Olahraga dan Rekreasi dalam Pendidikan Fisik,Olahraga dan Rekreasi,Pendidikan
778,Analisis Pengaruh Keyakinan Agama dalam Partisipasi Politik Masyarakat,Agama dan Kepercayaan,Politik dan Pemerintahan
779,Analisis Dampak Kebijakan Pemerintah terhadap Harmoni dan Toleransi Antaragama,Politik dan Pemerintahan,Agama dan Kepercayaan
780,Tinjauan atas Implementasi Program Pendidikan Sosial dalam Mempersiapkan Siswa menjadi Individu yang Peduli terhadap Isu-isu Sosial dan Kemanusiaan,Pendidikan,Sosial dan Kemanusiaan
781,Persepsi dan Preferensi Masyarakat terhadap Penggunaan Media Sosial dan Platform Digital dalam Konteks Politik dan Pemerintahan,Teknologi Informasi dan Komunikasi,Politik dan Pemerintahan
782,Persepsi Wisatawan terhadap Kesenian dan Budaya Lokal di Destinasi Pariwisata,Pariwisata,Seni dan Budaya
783,Penilaian Persepsi dan Kepuasan Wisatawan terhadap Transaksi Keuangan di Destinasi Pariwisata,Keuangan,Pariwisata
784,Preferensi dan Motivasi Masyarakat dalam Memilih Kegiatan Olahraga dan Rekreasi yang Berkaitan dengan Kesehatan,Olahraga dan Rekreasi,Kesehatan
785,Evaluasi Program Pemberdayaan Masyarakat melalui Seni dalam Konteks Kesehatan Mental: Penilaian Dampak dan Partisipasi Peserta,Kesehatan,Seni dan Budaya
786,Dampak Pariwisata terhadap Masyarakat Lokal dan Kesejahteraan Sosial,Pariwisata,Sosial dan Kemanusiaan
787,Pengaruh Seni dan Budaya terhadap Perilaku Pelestarian Lingkungan,Seni dan Budaya,Lingkungan dan Konservasi
788,Pengaruh Kebijakan Hukum terhadap Pembangunan Berkelanjutan: Studi Kasus tentang Dampak Kebijakan Hukum terhadap Pengelolaan Sumber Daya Alam dan Pelestarian Lingkungan,Hukum,Lingkungan dan Konservasi
789,Pengaruh Pendidikan Pariwisata terhadap Kesadaran dan Partisipasi Siswa dalam Pelestarian Warisan Budaya Lokal dan Lingkungan di Destinasi Pariwisata,Pendidikan,Pariwisata
790,Pengetahuan dan Sikap Remaja tentang Kesehatan Reproduksi: Studi Kasus pada Siswa SMP di Pulau Sumatera,Kesehatan,Kesehatan
791,Pengaruh Media Sosial dan Teknologi Informasi dalam Promosi dan Ekspresi Kreatif dalam Konteks Olahraga,Teknologi Informasi dan Komunikasi,Olahraga dan Rekreasi
792,Analisis Potensi Pengembangan Produk Kreatif Berbasis Pertanian dan Perikanan,Pertanian dan Perikanan,Seni dan Budaya
793,Persepsi dan Praktik Kepercayaan Tradisional terhadap Kesehatan dan Pengobatan: Survei pada Komunitas Etnik,Kesehatan,Agama dan Kepercayaan
794,Penilaian Efektivitas Program Pendidikan Keuangan dalam Meningkatkan Pengetahuan dan Keterampilan Keuangan,Keuangan,Keuangan
795,Penilaian Terhadap Keamanan dan Perlindungan Data dalam Sistem Transportasi dan Logistik Terkoneksi,Transportasi dan Logistik,Teknologi Informasi dan Komunikasi
796,Tanggapan Masyarakat terhadap Kebijakan dan Tindakan Pemerintah dalam Menangani Isu Lingkungan dan Konservasi,Sosial dan Kemanusiaan,Lingkungan dan Konservasi
797,Survei Tentang Hubungan Antara Bisnis dan Kebijakan Pemerintah dalam Pembangunan Ekonomi,Bisnis dan Industri,Politik dan Pemerintahan
798,Konvergensi Seni dan Budaya dengan Teknologi Informasi dan Komunikasi: Inovasi dan Kolaborasi,Seni dan Budaya,Teknologi Informasi dan Komunikasi
799,Persepsi dan Pengalaman Masyarakat dalam Menggabungkan Nilai Agama/Kepercayaan dengan Kurikulum Pendidikan yang Mempromosikan Kemanusiaan,Agama dan Kepercayaan,Pendidikan
800,Penggunaan Teknologi Informasi dalam Mengelola dan Meningkatkan Prestasi Olahraga,Olahraga dan Rekreasi,Teknologi Informasi dan Komunikasi
801,Tinjauan Mengenai Strategi Pengelolaan Keuangan yang Efektif di Industri dan Bisnis,Keuangan,Bisnis dan Industri
802,Analisis Perilaku Pengeluaran Wisatawan dalam Industri Pariwisata,Pariwisata,Keuangan
803,Survei Kepuasan Pengunjung terhadap Layanan dan Pengalaman dalam Industri Seni dan Budaya,Bisnis dan Industri,Seni dan Budaya
804,Penilaian Efektivitas Program Keuangan dalam Meningkatkan Partisipasi dan Kesetaraan dalam Politik dan Pemerintahan,Keuangan,Politik dan Pemerintahan
805,Persepsi Guru dan Siswa tentang Pentingnya Etika Politik dalam Pendidikan: Tinjauan terhadap Pengaruh Pendidikan Politik pada Sikap dan Tanggung Jawab Warga Negara,Pendidikan,Politik dan Pemerintahan
806,Evaluasi Peran Pendidikan dalam Pengembangan Apresiasi Seni dan Budaya di Sekolah: Persepsi Guru dan Siswa tentang Pentingnya Pembelajaran Seni dalam Pendidikan,Pendidikan,Seni dan Budaya
807,Penilaian Terhadap Keamanan dan Kualitas Transportasi Siswa dan Guru,Transportasi dan Logistik,Pendidikan
808,Persepsi Masyarakat tentang Peran Teknologi Informasi dan Komunikasi dalam Peningkatan Akses dan Kualitas Pelayanan Kesehatan,Teknologi Informasi dan Komunikasi,Kesehatan
809,Preferensi dan Minat dalam Memilih Jenis Olahraga dan Aktivitas Rekreasi,Olahraga dan Rekreasi,Olahraga dan Rekreasi
810,Perlindungan Hukum terhadap Pemain dan Peserta Kegiatan Olahraga dan Rekreasi,Olahraga dan Rekreasi,Hukum
811,Peran Pemimpin Agama dalam Promosi Kesehatan dan Perilaku Hidup Sehat: Pendekatan dan Pengaruhnya terhadap Masyarakat,Kesehatan,Agama dan Kepercayaan
812,Preferensi Transportasi dalam Berpartisipasi dalam Kegiatan Olahraga dan Rekreasi,Olahraga dan Rekreasi,Transportasi dan Logistik
813,Persepsi Masyarakat tentang Penyelenggaraan Acara Seni dan Budaya dengan Konten Agama dan Kepercayaan,Seni dan Budaya,Agama dan Kepercayaan
814,Kesadaran dan Perilaku Wisatawan terhadap Praktik Pariwisata Berkelanjutan dan Pelestarian Lingkungan,Pariwisata,Lingkungan dan Konservasi
815,Analisis Peran Wanita dalam Pertanian dan Perikanan serta Dampaknya terhadap Kesetaraan Gender,Pertanian dan Perikanan,Sosial dan Kemanusiaan
816,Pengaruh Pengalaman Industri dan Magang terhadap Kesiapan Karier Siswa: Studi Kasus pada Program Pendidikan Bisnis dengan Kolaborasi Industri,Pendidikan,Bisnis dan Industri
817,Pengaruh Globalisasi dan Industrialisasi terhadap Aspek Sosial dan Kemanusiaan dalam Konteks Bisnis,Sosial dan Kemanusiaan,Bisnis dan Industri
818,Peran Olahraga dan Rekreasi dalam Pencegahan Penyakit dan Peningkatan Kesehatan Masyarakat,Olahraga dan Rekreasi,Kesehatan
819,Dampak Keterhubungan Transportasi dan Logistik terhadap Pengembangan Pariwisata Lokal,Pariwisata,Transportasi dan Logistik
820,Survei Tentang Efektivitas Sistem Hukum dalam Menangani Perselisihan Bisnis,Bisnis dan Industri,Hukum
821,Persepsi Masyarakat Terhadap Peranan Pemuka Agama dalam Pertanian dan Perikanan,Agama dan Kepercayaan,Pertanian dan Perikanan
822,Evaluasi Risiko dan Peluang Keuangan dalam Industri Transportasi dan Logistik,Keuangan,Transportasi dan Logistik
823,Persepsi Wisatawan tentang Kualitas Layanan Kesehatan di Destinasi Pariwisata: Studi Kasus pada Destinasi Curug Nangka Bogor,Kesehatan,Pariwisata
824,Partisipasi dalam Aktivitas Olahraga dan Rekreasi untuk Meningkatkan Kesadaran Sosial dan Empati,Olahraga dan Rekreasi,Sosial dan Kemanusiaan
825,Persepsi dan Penggunaan Telemedicine dalam Pelayanan Kesehatan: Studi Kasus pada Pasien dan Tenaga Kesehatan,Kesehatan,Teknologi Informasi dan Komunikasi
826,Dampak Seni dan Budaya terhadap Pemberdayaan Komunitas Pertanian dan Perikanan,Seni dan Budaya,Pertanian dan Perikanan
827,Persepsi Masyarakat tentang Investasi Berkelanjutan dan Dampaknya terhadap Lingkungan dan Konservasi,Lingkungan dan Konservasi,Keuangan
828,Survei Kepuasan Masyarakat terhadap Layanan Keuangan dalam Transportasi dan Logistik,Transportasi dan Logistik,Keuangan
829,Dampak Sosial dan Kemanusiaan terhadap Kesehatan Masyarakat,Sosial dan Kemanusiaan,Kesehatan
830,Dampak Seni dan Budaya dalam Meningkatkan Citra dan Identitas Lokal di Sektor Transportasi dan Logistik,Seni dan Budaya,Transportasi dan Logistik
831,Konsep Konservasi dalam Pengembangan dan Pemanfaatan Area Rekreasi dan Wisata Alam,Lingkungan dan Konservasi,Olahraga dan Rekreasi
832,Pemasaran dan Pendanaan untuk Acara Seni dan Budaya,Seni dan Budaya,Keuangan
833,Analisis Dampak Infrastruktur Transportasi terhadap Pertumbuhan Ekonomi dan Investasi,Transportasi dan Logistik,Keuangan
834,Survei Kepatuhan terhadap Peraturan dan Perizinan dalam Praktik Pertanian dan Perikanan,Pertanian dan Perikanan,Hukum
835,Pengaruh Penggunaan Wearable Health Devices terhadap Perilaku Hidup Sehat: Studi Kasus pada Pengguna di Kalangan Masyarakat Umum,Kesehatan,Teknologi Informasi dan Komunikasi
836,Pengaruh Penegakan Hukum terhadap Persepsi Keamanan dan Kepatuhan Masyarakat: Studi Kasus tentang Dampak Penegakan Hukum dalam Membentuk Sikap dan Perilaku Masyarakat,Hukum,Hukum
837,Penilaian Persepsi dan Pemahaman Masyarakat tentang Kesehatan Keuangan dalam Konteks Pengelolaan Keuangan Pribadi dan Kesehatan Fisik,Keuangan,Kesehatan
838,Pengaruh Seni dan Budaya dalam Meningkatkan Partisipasi Politik Masyarakat,Seni dan Budaya,Politik dan Pemerintahan
839,Persepsi Masyarakat terhadap Peran Transportasi dalam Mendorong Kesetaraan Sosial dan Kemanusiaan,Transportasi dan Logistik,Sosial dan Kemanusiaan
840,Analisis Dampak Industri Seni dan Budaya terhadap Pariwisata dan Identitas Lokal,Bisnis dan Industri,Seni dan Budaya
841,Persepsi Masyarakat terhadap Hubungan Antara Seni dan Budaya dengan Olahraga dan Rekreasi,Seni dan Budaya,Olahraga dan Rekreasi
842,Persepsi Stakeholder tentang Dukungan Pemerintah dan Kebijakan Bisnis untuk Pengembangan Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Bisnis dan Industri
843,Dampak Perubahan Lingkungan terhadap Kesehatan Masyarakat,Lingkungan dan Konservasi,Kesehatan
844,Persepsi Siswa tentang Manfaat Pendidikan Transportasi dan Logistik dalam Pendidikan: Tinjauan terhadap Pengaruh Pendidikan Transportasi pada Mobilitas dan Aksesibilitas,Pendidikan,Transportasi dan Logistik
845,Penerapan Teknologi Informasi dan Komunikasi dalam Peningkatan Efisiensi dan Keamanan Transportasi dan Logistik,Teknologi Informasi dan Komunikasi,Transportasi dan Logistik
846,Kesadaran Hukum dalam Konteks Olahraga dan Rekreasi,Olahraga dan Rekreasi,Hukum
847,Tinjauan terhadap Pengelolaan Keuangan dalam Partisipasi dalam Kegiatan Olahraga dan Rekreasi,Keuangan,Olahraga dan Rekreasi
848,Kontribusi Teknologi Informasi dan Komunikasi dalam Mempertajam Akses dan Penyebaran Informasi Keagamaan,Teknologi Informasi dan Komunikasi,Agama dan Kepercayaan
849,Penilaian Kesesuaian Sistem Pertanian dan Perikanan dalam Mendukung Kesehatan Gizi Masyarakat,Pertanian dan Perikanan,Kesehatan
850,Pemahaman dan Sikap Terhadap Inklusi Sosial dalam Konteks Olahraga dan Rekreasi,Olahraga dan Rekreasi,Sosial dan Kemanusiaan
851,Analisis Dampak Keyakinan Agama dalam Perlindungan Lingkungan,Agama dan Kepercayaan,Lingkungan dan Konservasi
852,Kontribusi Praktik Berkelanjutan dalam Pertanian dan Perikanan terhadap Konservasi Sumber Daya Alam,Lingkungan dan Konservasi,Pertanian dan Perikanan
853,Penilaian Dampak Perubahan Kebijakan Keuangan terhadap Keberlanjutan Usaha Pertanian dan Perikanan,Pertanian dan Perikanan,Keuangan
854,Fasilitas Olahraga dan Rekreasi yang Tersedia di Daerah Pertanian dan Perikanan: Ketersediaan dan Kualitas,Olahraga dan Rekreasi,Pertanian dan Perikanan
855,Peran Pemerintah dalam Mendukung dan Melestarikan Seni dan Budaya,Seni dan Budaya,Seni dan Budaya
856,Analisis Keuangan Rumah Tangga terkait Pelayanan Kesehatan: Dampak dan Strategi Pengelolaan di Tengah Pandemi COVID-19,Kesehatan,Keuangan
857,Evaluasi Kurikulum Pendidikan Seni: Persepsi Guru dan Siswa tentang Relevansi dan Efektivitas Pembelajaran Seni dan Budaya dalam Konteks Kreativitas dan Pemahaman Budaya,Pendidikan,Seni dan Budaya
858,Tinjauan Kebutuhan Keuangan dalam Pengembangan Pertanian dan Perikanan,Keuangan,Pertanian dan Perikanan
859,Penilaian Efektivitas Regulasi Hukum dalam Mengatasi Kejahatan Keuangan dan Penipuan,Keuangan,Hukum
860,Survei Kepuasan Masyarakat terhadap Program Kesejahteraan Sosial dan Bantuan Publik,Politik dan Pemerintahan,Sosial dan Kemanusiaan
861,"Persepsi Stakeholder tentang Hubungan Antara Agama, Kepercayaan, dan Praktik Pertanian serta Perikanan yang Berkelanjutan",Pertanian dan Perikanan,Agama dan Kepercayaan
862,"Tinjauan atas Peran Hukum dalam Penanganan Isu-isu Sosial dan Kemanusiaan: Penilaian Dampak Kebijakan Hukum dalam Mengatasi Kemiskinan, Migrasi, dan Isu Kemanusiaan Lainnya",Hukum,Sosial dan Kemanusiaan
863,Persepsi Guru dan Siswa tentang Etika Penggunaan Teknologi Informasi dan Komunikasi di Sekolah: Tinjauan terhadap Kebijakan dan Kesadaran Etis,Pendidikan,Teknologi Informasi dan Komunikasi
864,Penilaian Peran Seni dan Budaya dalam Mempertahankan Identitas Lokal di Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Seni dan Budaya
865,Penilaian Terhadap Peran Lembaga Keagamaan dalam Pelestarian Warisan Budaya,Agama dan Kepercayaan,Seni dan Budaya
866,Kontribusi Teknologi Informasi dan Komunikasi dalam Mempertajam Pemantauan dan Pengelolaan Sumber Daya Alam,Teknologi Informasi dan Komunikasi,Lingkungan dan Konservasi
867,Evaluasi Perlindungan Hukum terhadap Konsumen Keuangan: Persepsi dan Pengalaman Masyarakat dalam Memperoleh Perlindungan Hukum terkait Transaksi dan Produk Keuangan,Hukum,Keuangan
868,Penilaian Peran Keuangan dalam Mendukung Praktik Filantropi dan Amal dalam Agama dan Kepercayaan,Keuangan,Agama dan Kepercayaan
869,Persepsi Masyarakat tentang Integrasi Materi Lingkungan dalam Kurikulum Pendidikan Formal,Lingkungan dan Konservasi,Pendidikan
870,Analisis Dampak Kebijakan Hukum terhadap Efisiensi Sistem Transportasi dan Logistik,Transportasi dan Logistik,Hukum
871,Survei Kepuasan Masyarakat terhadap Kebijakan Pemerintah dalam Mendukung Pertumbuhan Ekonomi dan Investasi,Politik dan Pemerintahan,Bisnis dan Industri
872,Analisis Dampak Industri pada Keberlanjutan Pertanian dan Perikanan,Bisnis dan Industri,Pertanian dan Perikanan
873,Peran Seni dan Budaya dalam Pendidikan: Perspektif Guru dan Siswa,Seni dan Budaya,Pendidikan
874,Persepsi Pelaku Bisnis terhadap Manfaat dan Tantangan Mengadopsi Teknologi Informasi dan Komunikasi,Bisnis dan Industri,Teknologi Informasi dan Komunikasi
875,Kontribusi Pariwisata Edukatif dalam Peningkatan Kesadaran Lingkungan dan Konservasi,Lingkungan dan Konservasi,Pariwisata
876,Preferensi Wisatawan terkait Pengalaman Seni dan Budaya di Destinasi Pariwisata,Pariwisata,Seni dan Budaya
877,Persepsi Masyarakat tentang Pengaruh Seni dan Budaya dalam Meningkatkan Kualitas Hidup dan Kesehatan,Kesehatan,Seni dan Budaya
878,Persepsi Masyarakat tentang Aksesibilitas Transportasi dan Dampaknya terhadap Kesejahteraan Sosial dan Kemanusiaan,Sosial dan Kemanusiaan,Transportasi dan Logistik
879,Tinjauan atas Implementasi Program Pendidikan Pertanian dan Perikanan di Sekolah: Penilaian Efektivitas dan Dampak pada Pemahaman dan Keterampilan dalam Mengelola Sumber Daya Pertanian dan Perikanan,Pendidikan,Pertanian dan Perikanan
880,Analisis Dampak Kebijakan Pemerintah terhadap Efisiensi dan Keamanan Sistem Transportasi,Politik dan Pemerintahan,Transportasi dan Logistik
881,Efektivitas Sistem Peradilan dalam Menjamin Keadilan dan Perlindungan Hukum: Persepsi dan Pengalaman Masyarakat dalam Berhadapan dengan Sistem Peradilan,Hukum,Hukum
882,Pengetahuan dan Sikap Masyarakat tentang Asuransi Kesehatan: Studi Kasus pada Peserta Program Jaminan Kesehatan Nasional di Daerah Bengkulu,Kesehatan,Keuangan
883,Persepsi Masyarakat tentang Dampak Pariwisata terhadap Lingkungan dan Upaya Konservasi,Lingkungan dan Konservasi,Pariwisata
884,Peran Seni dan Budaya dalam Promosi Kesehatan dan Pencegahan Penyakit: Tinjauan terhadap Inisiatif Kesehatan Berbasis Seni,Kesehatan,Seni dan Budaya
885,Pengaruh Hukum terhadap Partisipasi Masyarakat dalam Penyelesaian Konflik dan Mendorong Perdamaian: Studi Kasus tentang Kontribusi Sistem Hukum dalam Mempromosikan Keadilan Sosial dan Kemanusiaan,Hukum,Sosial dan Kemanusiaan
886,Peran Pendidikan dan Kesadaran Budaya dalam Mempromosikan Konservasi Lingkungan melalui Seni dan Budaya,Lingkungan dan Konservasi,Seni dan Budaya
887,Dampak Pariwisata Terhadap Keanekaragaman Hayati dan Upaya Konservasi di Destinasi Pariwisata,Lingkungan dan Konservasi,Pariwisata
888,Studi Tentang Tantangan dan Inovasi dalam Pengelolaan Limbah dan Pengembangan Energi Terbarukan,Politik dan Pemerintahan,Lingkungan dan Konservasi
889,Penilaian Terhadap Peran Industri dalam Pelestarian Budaya dan Warisan di Destinasi Pariwisata,Bisnis dan Industri,Pariwisata
890,Persepsi Masyarakat tentang Penanganan Kesehatan dalam Konteks Agama/Kepercayaan dan Kemanusiaan,Agama dan Kepercayaan,Kesehatan
891,Penilaian Terhadap Peran Bisnis dalam Pengembangan dan Pemasaran Produk Pertanian dan Perikanan,Bisnis dan Industri,Pertanian dan Perikanan
892,Responsibilitas Sosial Perusahaan Transportasi dan Logistik dalam Menghadapi Isu Sosial dan Kemanusiaan,Sosial dan Kemanusiaan,Transportasi dan Logistik
893,Persepsi Masyarakat tentang Kesehatan dan Keamanan Pangan dari Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Kesehatan
894,Persepsi Masyarakat terhadap Inovasi Finansial berbasis Teknologi,Keuangan,Teknologi Informasi dan Komunikasi
895,Penilaian Terhadap Peran Pemerintah dalam Mempromosikan Keberagaman Budaya dan Partisipasi Masyarakat,Politik dan Pemerintahan,Seni dan Budaya
896,Peran Seni dan Budaya dalam Merawat Warisan Keagamaan dan Kepercayaan,Seni dan Budaya,Agama dan Kepercayaan
